,0,1,2,3,4,5,6,7,8,9,10
0,0,4877,1066,7506,5047,5233,5494,2674,4241,4735,2760
1,1,5344,1884,4285,4271,4209,613,108,1905,6289,5485
2,2,424,5113,6592,5305,3451,711,1905,4031,3976,7463
3,3,2132,8464,4709,8495,8466,1391,1465,7474,2345,3837
4,4,2272,266,2091,4076,805,2690,1727,8232,8612,2362
5,5,7257,1906,3074,2971,4268,7025,2026,8247,2323,3352
6,6,5237,4364,4588,1778,525,7110,555,7529,5485,234
7,7,8353,7037,5580,5653,3619,2824,4056,5044,5013,7700
8,8,4461,3377,1522,1440,4089,4604,733,6457,55,3378
9,9,7533,2514,1899,3854,3122,1557,4720,2502,6688,2123
10,10,7202,3904,3787,4499,166,8610,2111,8231,5296,2329
11,11,4713,1339,6967,3865,3869,3304,7830,6711,4743,7319
12,12,3587,8240,5716,5574,1802,5223,6516,6530,3023,7280
13,13,3191,5328,4104,5050,5282,8130,3325,3410,2099,3039
14,14,7568,6149,1291,8758,7146,6362,1638,4548,4068,5054
15,15,8754,4631,6980,6084,1043,5065,4389,8711,4602,3438
16,16,7273,19,1537,6312,3568,3569,7029,2767,7266,6282
17,17,1925,1050,502,4026,3167,4076,3625,5626,8748,6080
18,18,307,1117,2705,2979,8013,4708,6287,5207,1809,8211
19,19,1705,6589,5958,3631,4522,5965,16,6966,3343,7335
20,20,1541,4022,8001,315,308,4595,439,8503,3581,3073
21,21,7129,7245,1305,2957,7206,2373,1475,1390,8121,6087
22,22,6790,6899,489,4016,6637,8225,2414,2489,2546,6338
23,23,2579,254,1892,8596,5035,34,7457,6249,5388,522
24,24,3421,123,3197,3650,5537,4575,2908,2133,2073,180
25,25,6666,5679,477,2416,397,4839,6627,772,8653,6029
26,26,7320,7833,4584,4690,8509,4281,438,1850,5482,6733
27,27,2674,5687,4119,154,2643,3276,295,2105,1100,6510
28,28,2513,506,8089,3958,1190,4751,7831,7217,7478,8691
29,29,2882,1945,3465,6716,2452,3762,897,1919,7420,2637
30,30,3885,2942,4737,8380,4097,6952,7737,6286,7048,3549
31,31,3560,7796,425,3166,3708,5533,982,8799,6753,223
32,32,782,1750,4501,3398,8495,1729,2485,6996,5543,70
33,33,1011,1440,1242,5903,1615,2914,4789,834,5411,2591
34,34,104,1551,8669,8784,23,8162,937,3343,2107,1005
35,35,8686,7803,2272,4860,4174,1258,8659,4342,4681,1762
36,36,3090,2727,3993,8697,2629,4983,1142,551,8445,8488
37,37,1169,8190,337,6404,2215,8424,583,8579,2225,733
38,38,423,8303,3487,6701,5386,2220,7390,7347,5857,6614
39,39,104,8784,2292,3988,417,1350,89,877,2193,5429
